Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.4972175001166761,0.48862600000575185,23.4765625,23.5
10x10,0.8527750999201089,0.5068729999475181,23.53125,23.54296875
15x15,0.5297230998985469,0.48409679997712374,23.6015625,23.625
20x20,0.8080692999064922,0.4965367999393493,23.6875,23.72265625
25x25,0.8231860999949276,0.5123725000303239,23.80859375,23.85546875
30x30,0.8272283999249339,0.4854921998921782,23.93359375,24.00390625
35x35,0.6903683999553323,0.4816970000974834,24.09375,24.125
40x40,0.6058195999357849,0.5138790998607874,24.25,24.453125
45x45,0.8254251000471413,0.5153295998461545,24.5703125,24.66796875
50x50,0.8147062999196351,0.5127069998998195,24.73828125,24.86328125
55x55,0.8213359001092613,0.4308427998330444,24.98828125,25.3828125
60x60,0.4807857999112457,0.4342951001599431,24.98828125,25.6171875
65x65,0.48167769983410835,0.44018430006690323,25.25390625,25.9375
70x70,0.6119577002245933,0.5714928000234067,25.48828125,26.21875
75x75,0.8129321001470089,0.5229193000122905,25.75,26.78515625
80x80,0.8556053000502288,0.3273121998645365,25.94921875,27.28125
85x85,0.8346516001038253,0.3820551000535488,26.6328125,28.1640625
90x90,0.49614210007712245,0.3561966000124812,27.05859375,28.33203125
95x95,0.8251155000180006,0.3407177999615669,27.3125,28.3671875
100x100,0.8411656999960542,0.34944360004737973,27.71484375,29.1171875
150x150,0.8728753000032157,0.441029499983415,31.75,36.3671875
200x200,0.9366176000330597,0.4917780999094248,37.84375,46.171875
250x250,0.8896254999563098,0.669024100061506,46.80859375,55.9296875
300x300,0.42370799998752773,0.761238900013268,57.62109375,76.7109375
350x350,0.5428935999516398,0.9033628001343459,70.3046875,91.68359375
400x400,0.6570880999788642,0.6290198999922723,84.92578125,102.3984375
450x450,0.8034734998364002,0.9792748000472784,101.671875,134.53515625
500x500,0.9537104999180883,1.9618816999718547,119.59765625,167.42578125
550x550,1.1154771000146866,2.520378699991852,141.0703125,198.84765625
600x600,1.3485452001914382,1.5956439999863505,163.53515625,228.8125
650x650,1.5051933999639004,4.919841399881989,184.90234375,304.44921875
700x700,1.799371900036931,4.684555500047281,215.859375,328.484375
750x750,2.0430931001901627,5.768981599947438,240.5703125,370.05859375
800x800,2.255263099912554,4.005399799905717,270.27734375,372.18359375
850x850,2.50364420004189,8.30411050003022,302.76171875,523.71875
900x900,2.8196970999706537,7.091972300084308,335.96875,526.5625
950x950,3.391832900000736,6.793416999978945,373.921875,554.234375
1000x1000,3.453282400034368,6.573792899958789,411.74609375,596.64453125
2000x2000,14.280240799998865,28.451438100077212,1580.70703125,2340.62890625
3000x3000,51.97389929997735,46.44721419992857,3535.16796875,4948.37109375
4000x4000,54.007337199989706,86.80994100007229,6268.48828125,8690.91796875
